"","id","partner","age","age_o","goal","date","go_out","int_corr","length","met","like","prob","match"
"74",8,4,25,23,"1",5,"1",-0.4,NA,"1",5,6,"1"
"75",8,5,25,24,"1",5,"1",-0.23,NA,"1",6,5,"1"
"76",8,6,25,25,"1",5,"1",0.28,NA,"1",6,5,"1"
"77",8,7,25,30,"1",5,"1",0.05,NA,"1",6,6,"0"
"78",8,8,25,27,"1",5,"1",0.17,NA,"1",5,4,"1"
"79",8,9,25,28,"1",5,"1",-0.47,NA,"1",7,10,"1"
"80",8,10,25,24,"1",5,"1",-0.21,NA,"1",8,7,"1"
"81",9,1,26,27,"1",4,"1",0.19,"2","1",5,5,"0"
"82",9,2,26,22,"1",4,"1",0.03,"2","1",10,5,"1"
"83",9,3,26,22,"1",4,"1",0.68,"2","1",8,5,"1"
"84",9,4,26,23,"1",4,"1",-0.26,"2","1",7,5,"1"
"85",9,5,26,24,"1",4,"1",-0.01,"2","1",5,5,"1"
"86",9,6,26,25,"1",4,"1",0.42,"2","1",6,5,"1"
"87",9,7,26,30,"1",4,"1",0.21,"2","1",7,5,"1"
"88",9,8,26,27,"1",4,"1",0.1,"2","1",7,5,"0"
"89",9,9,26,28,"1",4,"1",-0.35,"2","1",7,6,"1"
"90",9,10,26,24,"1",4,"1",-0.23,"2","1",8,5,"0"
"91",10,1,26,27,"2",6,"1",0.3,"2","1",6,3,"0"
"92",10,2,26,22,"2",6,"1",0.65,"2","1",1,1,"0"
"93",10,3,26,22,"2",6,"1",-0.15,"2","1",7,6,"1"
"94",10,4,26,23,"2",6,"1",0.17,"2","1",10,1,"0"
"95",10,5,26,24,"2",6,"1",0.24,"2","1",6,1,"0"
"96",10,6,26,25,"2",6,"1",0.15,"2","1",6,1,"0"
"97",10,7,26,30,"2",6,"1",0.41,"2","1",7,1,"0"
"98",10,8,26,27,"2",6,"1",0.07,"2","1",5,5,"0"
"99",10,9,26,28,"2",6,"1",0.49,"2","1",9,9,"1"
"100",10,10,26,24,"2",6,"1",0.08,"2","1",9,10,"0"
"101",1,1,27,21,"1",5,"4",0.14,"2","1",7,4,"0"
"102",1,2,27,24,"1",5,"4",0.29,"2","1",7,2,"0"
"103",1,3,27,25,"1",5,"4",-0.24,"2","1",5,2,"0"
"104",1,4,27,23,"1",5,"4",-0.18,"2","1",6,3,"0"
"105",1,5,27,21,"1",5,"4",-0.43,"2","1",6,5,"0"
"106",1,6,27,23,"1",5,"4",0.33,"2","1",7,4,"0"
"107",1,7,27,22,"1",5,"4",0.19,"2","1",7,4,"0"
"108",1,8,27,25,"1",5,"4",-0.03,"2","1",7,4,"0"
"109",1,9,27,26,"1",5,"4",0.19,"2","1",6,4,"0"
"110",1,10,27,26,"1",5,"4",0.3,"2","1",6,3,"0"
"111",2,1,22,21,"1",1,"1",0.54,NA,"1",8,4,"0"
"112",2,2,22,24,"1",1,"1",0.18,NA,"1",8,4,"0"
"113",2,3,22,25,"1",1,"1",-0.14,NA,"1",7,3,"0"
"114",2,4,22,23,"1",1,"1",-0.18,NA,"1",6,3,"0"
"115",2,5,22,21,"1",1,"1",0,NA,"1",7,4,"0"
"116",2,6,22,23,"1",1,"1",0.37,NA,"1",7,4,"0"
"117",2,7,22,22,"1",1,"1",0.21,NA,"1",8,4,"0"
"118",2,8,22,25,"1",1,"1",-0.11,NA,"1",9,4,"1"
"119",2,9,22,26,"1",1,"1",0.03,NA,"1",8,4,"1"
"120",2,10,22,26,"1",1,"1",0.65,NA,"1",1,1,"0"
"121",3,1,22,21,"2",7,"1",0.16,"3","1",10,10,"1"
"122",3,2,22,24,"2",7,"1",0.1,"3","1",10,10,"0"
"123",3,3,22,25,"2",7,"1",0.09,"3","1",10,10,"0"
"124",3,4,22,23,"2",7,"1",0.05,"3",NA,10,10,"0"
"125",3,5,22,21,"2",7,"1",-0.17,"3","1",10,10,"0"
"126",3,6,22,23,"2",7,"1",-0.51,"3","1",10,10,"0"
"127",3,7,22,22,"2",7,"1",0.52,"3",NA,10,10,"0"
"128",3,8,22,25,"2",7,"1",0.42,"3","1",10,10,"1"
"129",3,9,22,26,"2",7,"1",0.68,"3","1",10,10,"1"
"130",3,10,22,26,"2",7,"1",-0.15,"3","1",10,10,"1"
"131",4,1,23,21,"2",4,"1",0.61,"3","1",7,7,"1"
"132",4,2,23,24,"2",4,"1",-0.21,"3","1",9,7,"1"
"133",4,3,23,25,"2",4,"1",-0.04,"3","1",7,7,"0"
"134",4,4,23,23,"2",4,"1",-0.18,"3","1",8,10,"1"
"135",4,5,23,21,"2",4,"1",0.08,"3","1",7,7,"1"
"136",4,6,23,23,"2",4,"1",0.12,"3","1",7,7,"1"
"137",4,7,23,22,"2",4,"1",-0.46,"3","1",8,7,"1"
"138",4,8,23,25,"2",4,"1",-0.4,"3","1",8,7,"1"
"139",4,9,23,26,"2",4,"1",-0.26,"3","1",7,7,"1"
"140",4,10,23,26,"2",4,"1",0.17,"3","1",7,7,"0"
"141",5,1,24,21,"1",4,"1",0.21,"2","1",8,6,"1"
"142",5,2,24,24,"1",4,"1",0.32,"2","1",10,1,"0"
"143",5,3,24,25,"1",4,"1",-0.14,"2","1",6,1,"0"
"144",5,4,24,23,"1",4,"1",0.21,"2","1",9,7,"0"
"145",5,5,24,21,"1",4,"1",-0.16,"2","1",5,7,"0"
"146",5,6,24,23,"1",4,"1",0.35,"2","1",9,2,"0"
"147",5,7,24,22,"1",4,"1",-0.27,"2","1",8,4,"0"
"148",5,8,24,25,"1",4,"1",-0.23,"2","1",9,7,"1"
"149",5,9,24,26,"1",4,"1",-0.01,"2","1",7,8,"1"
"150",5,10,24,26,"1",4,"1",0.24,"2","1",6,6,"0"
"151",6,1,25,21,"1",5,"1",0.25,"2","1",7,6,"0"
"152",6,2,25,24,"1",5,"1",0.73,"2","1",7,5,"0"
"153",6,3,25,25,"1",5,"1",-0.3,"2","1",6,7,"0"
"154",6,4,25,23,"1",5,"1",0.37,"2","1",6,6,"0"
"155",6,5,25,21,"1",5,"1",0.06,"2","1",6,7,"0"
"156",6,6,25,23,"1",5,"1",0.19,"2","1",6,6,"0"
"157",6,7,25,22,"1",5,"1",0.59,"2","1",7,7,"0"
"158",6,8,25,25,"1",5,"1",0.28,"2","1",7,6,"1"
"159",6,9,25,26,"1",5,"1",0.42,"2","1",6,5,"1"
"160",6,10,25,26,"1",5,"1",0.15,"2","1",6,6,"0"
"161",7,1,30,21,"3",3,"2",0.34,"3","1",2,1,"0"
"162",7,2,30,24,"3",3,"2",0.6,"3","1",4,3,"0"
"163",7,3,30,25,"3",3,"2",-0.26,"3","1",2,2,"0"
"164",7,4,30,23,"3",3,"2",0.35,"3","1",6,4,"0"
"165",7,5,30,21,"3",3,"2",-0.05,"3","1",3,3,"0"
"166",7,6,30,23,"3",3,"2",0.47,"3","1",3,3,"0"
"167",7,7,30,22,"3",3,"2",0.31,"3","1",5,4,"0"
"168",7,8,30,25,"3",3,"2",0.05,"3","1",4,4,"0"
"169",7,9,30,26,"3",3,"2",0.21,"3","1",8,4,"1"
"170",7,10,30,26,"3",3,"2",0.41,"3","1",3,6,"0"
"171",8,1,27,21,"1",6,"1",0.5,"2","1",7,5,"0"
"172",8,2,27,24,"1",6,"1",0.07,"2","1",7,6,"0"
"173",8,3,27,25,"1",6,"1",0.29,"2","1",5,1,"0"
"174",8,4,27,23,"1",6,"1",0.15,"2","1",7,7,"0"
"175",8,5,27,21,"1",6,"1",0.07,"2","1",6,5,"0"
"176",8,6,27,23,"1",6,"1",0.03,"2","1",7,6,"0"
"177",8,7,27,22,"1",6,"1",0.08,"2","1",7,5,"0"
"178",8,8,27,25,"1",6,"1",0.17,"2","1",7,5,"1"
"179",8,9,27,26,"1",6,"1",0.1,"2","1",7,5,"0"
"180",8,10,27,26,"1",6,"1",0.07,"2","1",7,6,"0"
"181",9,1,28,21,"4",1,"1",0.28,NA,"1",6.5,8,"1"
"182",9,2,28,24,"4",1,"1",0.11,NA,"1",8,8,"1"
"183",9,3,28,25,"4",1,"1",-0.15,NA,"1",7,7,"0"
"184",9,4,28,23,"4",1,"1",-0.47,NA,"1",8,8,"1"
"185",9,5,28,21,"4",1,"1",-0.13,NA,"1",7,7,"1"
"186",9,6,28,23,"4",1,"1",0.46,NA,"1",6,6,"1"
"187",9,7,28,22,"4",1,"1",-0.34,NA,"1",9,9,"1"
"188",9,8,28,25,"4",1,"1",-0.47,NA,"1",8,8,"1"
"189",9,9,28,26,"4",1,"1",-0.35,NA,"1",6,6,"1"
"190",9,10,28,26,"4",1,"1",0.49,NA,"1",7,8,"1"
"191",10,1,24,21,"1",1,"1",-0.36,NA,"1",6,6,"0"
"192",10,2,24,24,"1",1,"1",0.39,NA,"1",6,9,"0"
"193",10,3,24,25,"1",1,"1",-0.47,NA,"1",5,5,"0"
"194",10,4,24,23,"1",1,"1",-0.19,NA,"1",7,7,"0"
"195",10,5,24,21,"1",1,"1",-0.06,NA,"1",4,10,"0"
"196",10,6,24,23,"1",1,"1",0.43,NA,"1",6,7,"0"
"197",10,7,24,22,"1",1,"1",-0.16,NA,"1",7,7,"0"
"198",10,8,24,25,"1",1,"1",-0.21,NA,"1",8,8,"1"
"199",10,9,24,26,"1",1,"1",-0.23,NA,"1",6,6,"0"
"200",10,10,24,26,"1",1,"1",0.08,NA,"1",7,7,"0"
"201",1,1,21,25,"6",7,"4",-0.23,"3","1",9,1,"0"
"202",1,2,21,30,"6",7,"4",-0.3,"3","1",7,2,"0"
"203",1,3,21,23,"6",7,"4",0.46,"3",NA,9,3,"0"
"204",1,4,21,24,"6",7,"4",0.43,"3","1",6,1,"0"
"205",1,5,21,24,"6",7,"4",-0.4,"3","1",6,1,"0"
"206",1,6,21,28,"6",7,"4",0.01,"3","1",5,2,"0"
"207",1,7,21,26,"6",7,"4",0.22,"3","1",8,2,"0"
"208",1,8,21,30,"6",7,"4",-0.06,"3","1",5,1,"0"
"209",1,9,21,22,"6",7,"4",-0.08,"3","1",6,1,"0"
"210",1,10,21,25,"6",7,"4",0.28,"3","1",9,5,"0"
"211",1,11,21,27,"6",7,"4",0.27,"3","1",6,1,"0"
"212",1,12,21,23,"6",7,"4",0.44,"3","1",2,1,"0"
"213",1,13,21,21,"6",7,"4",0.62,"3","1",6,1,"0"
"214",1,14,21,28,"6",7,"4",-0.08,"3","1",6,1,"0"
"215",1,15,21,28,"6",7,"4",-0.2,"3","1",6,1,"0"
"216",1,16,21,23,"6",7,"4",0.39,"3","1",8,3,"0"
"217",2,1,27,25,"1",6,"2",0.29,"3","1",6,4,"0"
"218",2,2,27,30,"1",6,"2",-0.23,"3","1",3,3,"0"
"219",2,3,27,23,"1",6,"2",0.44,"3","1",3,2,"0"
"220",2,4,27,24,"1",6,"2",-0.04,"3","1",4,3,"0"
"221",2,5,27,24,"1",6,"2",-0.21,"3","1",6,6,"1"
"222",2,6,27,28,"1",6,"2",-0.02,"3","1",6,6,"1"
"223",2,7,27,26,"1",6,"2",-0.33,"3","1",7,4,"0"
"224",2,8,27,30,"1",6,"2",0.27,"3","1",5,4,"0"
"225",2,9,27,22,"1",6,"2",0.73,"3","1",7,4,"0"
"226",2,10,27,25,"1",6,"2",-0.08,"3","1",5,3,"0"
"227",2,11,27,27,"1",6,"2",0.12,"3","1",6,6,"0"
"228",2,12,27,23,"1",6,"2",-0.52,"3","1",2,1,"0"
"229",2,13,27,21,"1",6,"2",0.03,"3","1",2,2,"0"
"230",2,14,27,28,"1",6,"2",0.5,"3","1",8,5,"0"
"231",2,15,27,28,"1",6,"2",0.33,"3","1",4,2,"0"
"232",2,16,27,23,"1",6,"2",0.16,"3","1",7,6,"0"
"233",3,1,21,25,"1",1,"1",0.22,"2","1",8,6,"0"
"234",3,2,21,30,"1",1,"1",0.06,"2","1",7,6,"0"
"235",3,3,21,23,"1",1,"1",0.41,"2","1",6.5,5,"0"
"236",3,4,21,24,"1",1,"1",-0.35,"2","1",7,6,"1"
"237",3,5,21,24,"1",1,"1",-0.17,"2","1",9,10,"1"
"238",3,6,21,28,"1",1,"1",-0.1,"2","1",7,5,"1"
"239",3,7,21,26,"1",1,"1",-0.52,"2","1",7,5,"0"
"240",3,8,21,30,"1",1,"1",0.21,"2","1",6,5,"0"
"241",3,9,21,22,"1",1,"1",0.58,"2","1",6,5,"0"
"242",3,10,21,25,"1",1,"1",-0.23,"2","1",8,6,"0"
"243",3,11,21,27,"1",1,"1",0.05,"2","1",7,5,"0"
"244",3,12,21,23,"1",1,"1",-0.57,"2","1",6,4,"0"
"245",3,13,21,21,"1",1,"1",-0.13,"2","1",6,5,"0"
"246",3,14,21,28,"1",1,"1",0.49,"2",NA,NA,NA,"0"
"247",3,15,21,28,"1",1,"1",0.35,"2","1",6,4,"0"
"248",3,16,21,23,"1",1,"1",0.1,"2","1",6,5,"0"
"249",4,1,27,25,"2",6,"4",-0.31,"3","1",6,3,"0"
"250",4,2,27,30,"2",6,"4",-0.07,"3","1",8,4,"0"
"251",4,3,27,23,"2",6,"4",0.09,"3","1",7,5,"0"
"252",4,4,27,24,"2",6,"4",-0.32,"3","1",7,5,"0"
"253",4,5,27,24,"2",6,"4",0.54,"3","1",7,7,"0"
"254",4,6,27,28,"2",6,"4",-0.19,"3","1",8,6,"0"
"255",4,7,27,26,"2",6,"4",0.24,"3","1",8,7,"0"
"256",4,8,27,30,"2",6,"4",0.04,"3","1",7,7,"0"
"257",4,9,27,22,"2",6,"4",0.05,"3","1",7,6,"0"
"258",4,10,27,25,"2",6,"4",-0.04,"3","1",6,5,"0"
"259",4,11,27,27,"2",6,"4",-0.12,"3","1",7,7,"0"
"260",4,12,27,23,"2",6,"4",-0.07,"3","1",7,7,"0"
"261",4,13,27,21,"2",6,"4",-0.01,"3","1",7,6,"0"
"262",4,14,27,28,"2",6,"4",0.48,"3","1",8,7,"0"
"263",4,15,27,28,"2",6,"4",0.49,"3","1",7,6,"0"
"264",4,16,27,23,"2",6,"4",-0.22,"3","1",6,4,"0"
"265",5,1,25,25,"1",5,"2",-0.12,"1","1",6,4,"0"
"266",5,2,25,30,"1",5,"2",0.09,"1","1",7,3,"0"
"267",5,3,25,23,"1",5,"2",0.58,"1","1",7,5,"0"
"268",5,4,25,24,"1",5,"2",-0.2,"1","1",4,5,"0"
"269",5,5,25,24,"1",5,"2",-0.29,"1","1",5,4,"0"
"270",5,6,25,28,"1",5,"2",-0.01,"1","1",7,5,"0"
"271",5,7,25,26,"1",5,"2",-0.24,"1","1",8,7,"0"
"272",5,8,25,30,"1",5,"2",-0.05,"1","1",8,4,"0"
"273",5,9,25,22,"1",5,"2",0.38,"1","1",7,6,"0"
"274",5,10,25,25,"1",5,"2",0.06,"1","1",9,8,"0"
"275",5,11,25,27,"1",5,"2",0.35,"1","1",8,7,"0"
"276",5,12,25,23,"1",5,"2",0.11,"1","1",6,7,"0"
"277",5,13,25,21,"1",5,"2",0.28,"1","1",5,4,"0"
"278",5,14,25,28,"1",5,"2",0.11,"1","1",7,7,"0"
"279",5,15,25,28,"1",5,"2",-0.15,"1","1",6,7,"0"
"280",5,16,25,23,"1",5,"2",0.53,"1","1",7,5,"0"
"281",6,1,23,25,"1",5,"2",-0.38,NA,"1",2,2,"0"
"282",6,2,23,30,"1",5,"2",-0.05,NA,"1",2,2,"0"
"283",6,3,23,23,"1",5,"2",0.04,NA,"1",3,2,"0"
"284",6,4,23,24,"1",5,"2",-0.02,NA,"1",2,3,"0"
"285",6,5,23,24,"1",5,"2",0.46,NA,"1",5,4,"0"
"286",6,6,23,28,"1",5,"2",-0.06,NA,"1",2,2,"0"
"287",6,7,23,26,"1",5,"2",0.22,NA,"1",6,5,"0"
"288",6,8,23,30,"1",5,"2",-0.05,NA,"1",2,2,"0"
"289",6,9,23,22,"1",5,"2",0.29,NA,"1",4,4,"0"
"290",6,10,23,25,"1",5,"2",0.02,NA,"1",5,5,"0"
"291",6,11,23,27,"1",5,"2",0.21,NA,"1",8,5,"0"
"292",6,12,23,23,"1",5,"2",0.05,NA,"1",6,4,"0"
"293",6,13,23,21,"1",5,"2",0.06,NA,"1",5,4,"0"
"294",6,14,23,28,"1",5,"2",0.08,NA,"1",6,6,"0"
"295",6,15,23,28,"1",5,"2",0.16,NA,"1",3,3,"0"
"296",6,16,23,23,"1",5,"2",0.03,NA,"1",6,5,"0"
"297",7,1,22,25,"1",6,"2",-0.13,"1","1",3,3,"0"
"298",7,2,22,30,"1",6,"2",-0.04,"1","1",2,1,"0"
"299",7,3,22,23,"1",6,"2",-0.07,"1","1",2,2,"0"
"300",7,4,22,24,"1",6,"2",-0.16,"1","1",2,3,"0"
"301",7,5,22,24,"1",6,"2",0.44,"1","1",1,4,"0"
"302",7,6,22,28,"1",6,"2",-0.27,"1","1",1,2,"0"
"303",7,7,22,26,"1",6,"2",0.29,"1","1",6,5,"1"
"304",7,8,22,30,"1",6,"2",-0.28,"1","1",3,5,"0"
"305",7,9,22,22,"1",6,"2",-0.35,"1","1",3,1,"0"
"306",7,10,22,25,"1",6,"2",0.13,"1","1",2,3,"0"
"307",7,11,22,27,"1",6,"2",-0.23,"1","1",4,4,"1"
"308",7,12,22,23,"1",6,"2",0.2,"1","1",2,3,"0"
"309",7,13,22,21,"1",6,"2",-0.31,"1","1",1,3,"0"
"310",7,14,22,28,"1",6,"2",-0.07,"1","1",3,3,"0"
"311",7,15,22,28,"1",6,"2",-0.06,"1","1",1,2,"0"
"312",7,16,22,23,"1",6,"2",-0.16,"1","1",4,1,"0"
"313",8,1,26,25,NA,NA,NA,NA,NA,"1",2,4,"0"
"314",8,2,26,30,NA,NA,NA,NA,NA,"1",2,2,"0"
"315",8,3,26,23,NA,NA,NA,NA,NA,"1",3,3,"0"
"316",8,4,26,24,NA,NA,NA,NA,NA,"1",3,4.5,"0"
"317",8,5,26,24,NA,NA,NA,NA,NA,"1",2,4,"0"
"318",8,6,26,28,NA,NA,NA,NA,NA,"1",3,3,"0"
"319",8,7,26,26,NA,NA,NA,NA,NA,"1",7.5,6.5,"1"
"320",8,8,26,30,NA,NA,NA,NA,NA,"1",2,5,"0"
"321",8,9,26,22,NA,NA,NA,NA,NA,"1",4,4,"0"
"322",8,10,26,25,NA,NA,NA,NA,NA,"1",4,3,"0"
"323",8,11,26,27,NA,NA,NA,NA,NA,"1",3,5,"0"
"324",8,12,26,23,NA,NA,NA,NA,NA,"1",4.5,4.5,"0"
"325",8,13,26,21,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"326",8,14,26,28,NA,NA,NA,NA,NA,"1",8,5.5,"0"
"327",8,15,26,28,NA,NA,NA,NA,NA,"1",4,4,"0"
"328",8,16,26,23,NA,NA,NA,NA,NA,"1",4,4,"0"
"329",9,1,22,25,"1",6,"1",0.11,"3","1",5,4,"0"
"330",9,2,22,30,"1",6,"1",-0.57,"3","1",4,4,"0"
"331",9,3,22,23,"1",6,"1",0.1,"3","1",6,3,"0"
"332",9,4,22,24,"1",6,"1",0.31,"3",NA,5,4,"0"
"333",9,5,22,24,"1",6,"1",-0.41,"3","1",6,4,"1"
"334",9,6,22,28,"1",6,"1",0.08,"3","1",6,4,"1"
"335",9,7,22,26,"1",6,"1",0.1,"3","1",7,4,"0"
"336",9,8,22,30,"1",6,"1",0.04,"3","1",6,4,"0"
"337",9,9,22,22,"1",6,"1",0.11,"3","1",8,5,"0"
"338",9,10,22,25,"1",6,"1",0.2,"3","1",5,6,"0"
"339",9,11,22,27,"1",6,"1",0.54,"3","1",7,5,"0"
"340",9,12,22,23,"1",6,"1",-0.05,"3","1",6,5,"0"
"341",9,13,22,21,"1",6,"1",0.42,"3","1",8,7,"0"
"342",9,14,22,28,"1",6,"1",0.06,"3","1",8,5,"0"
"343",9,15,22,28,"1",6,"1",-0.16,"3",NA,6,4,"0"
"344",9,16,22,23,"1",6,"1",0.52,"3","1",6,6,"0"
"345",10,1,23,25,"1",7,"2",0.19,"1","1",6,5,"0"
"346",10,2,23,30,"1",7,"2",-0.44,"1","1",8,5,"0"
"347",10,3,23,23,"1",7,"2",0.46,"1","1",8,6,"0"
"348",10,4,23,24,"1",7,"2",0.21,"1","1",6,5,"0"
"349",10,5,23,24,"1",7,"2",-0.27,"1","1",7,4,"0"
"350",10,6,23,28,"1",7,"2",-0.41,"1","1",4,3,"0"
"351",10,7,23,26,"1",7,"2",-0.02,"1","1",7,6,"0"
"352",10,8,23,30,"1",7,"2",0.09,"1","1",8,6,"0"
"353",10,9,23,22,"1",7,"2",0.39,"1","1",8,7,"0"
"354",10,10,23,25,"1",7,"2",0.16,"1","1",9,7,"1"
"355",10,11,23,27,"1",7,"2",0.51,"1","1",8,4,"0"
"356",10,12,23,23,"1",7,"2",-0.27,"1","1",4,4,"0"
"357",10,13,23,21,"1",7,"2",0.11,"1","1",7,7,"0"
"358",10,14,23,28,"1",7,"2",0.16,"1","1",9,6,"0"
"359",10,15,23,28,"1",7,"2",0.21,"1","1",6,5,"0"
"360",10,16,23,23,"1",7,"2",0.49,"1","1",8,5,"1"
"361",11,1,24,25,"1",4,"3",-0.19,"1","1",5,4,"0"
"362",11,2,24,30,"1",4,"3",-0.43,"1","1",NA,NA,"0"
"363",11,3,24,23,"1",4,"3",0.47,"1",NA,5,3,"0"
"364",11,4,24,24,"1",4,"3",-0.48,"1","1",5,4,"0"
"365",11,5,24,24,"1",4,"3",0,"1","1",5,4,"0"
"366",11,6,24,28,"1",4,"3",-0.38,"1","1",5,4,"0"
"367",11,7,24,26,"1",4,"3",-0.34,"1","1",7,4,"0"
"368",11,8,24,30,"1",4,"3",-0.27,"1","1",4,3,"0"
"369",11,9,24,22,"1",4,"3",0.52,"1","1",8,8,"1"
"370",11,10,24,25,"1",4,"3",-0.57,"1","1",7,8,"1"
"371",11,11,24,27,"1",4,"3",-0.04,"1","1",9,9,"1"
"372",11,12,24,23,"1",4,"3",-0.35,"1","1",5,4,"0"
"373",11,13,24,21,"1",4,"3",0.03,"1","1",6,4,"0"
"374",11,14,24,28,"1",4,"3",0.4,"1","1",6.5,6,"0"
"375",11,15,24,28,"1",4,"3",0.26,"1","1",5,5,"0"
"376",11,16,24,23,"1",4,"3",-0.32,"1","1",8.5,9,"1"
"377",12,1,27,25,"1",4,"2",-0.05,"3","1",5,5,"0"
"378",12,2,27,30,"1",4,"2",-0.22,"3","1",7,5,"0"
"379",12,3,27,23,"1",4,"2",0.54,"3","1",6,5,"0"
